2016-Oct-13 10:46:58.379344 [INFO]    System: Loading radio: demo_highest_8K.xml
2016-Oct-13 10:46:58.444240 [INFO]    XmlParser: Parsed engine: phyengine1
2016-Oct-13 10:46:58.444288 [INFO]    XmlParser: Parsed component: filerawreader1
2016-Oct-13 10:46:58.444321 [INFO]    XmlParser: Parsed engine: phyengine2
2016-Oct-13 10:46:58.444338 [INFO]    XmlParser: Parsed component: dvbt1scrambler1
2016-Oct-13 10:46:58.444363 [INFO]    XmlParser: Parsed engine: phyengine3
2016-Oct-13 10:46:58.444378 [INFO]    XmlParser: Parsed component: dvbt1rsencoder1
2016-Oct-13 10:46:58.444401 [INFO]    XmlParser: Parsed engine: phyengine4
2016-Oct-13 10:46:58.444417 [INFO]    XmlParser: Parsed component: dvbt1convinterleaver1
2016-Oct-13 10:46:58.444441 [INFO]    XmlParser: Parsed engine: phyengine5
2016-Oct-13 10:46:58.444456 [INFO]    XmlParser: Parsed component: dvbt1convencoder1
2016-Oct-13 10:46:58.444480 [INFO]    XmlParser: Parsed engine: phyengine6
2016-Oct-13 10:46:58.444495 [INFO]    XmlParser: Parsed component: dvbt1puncturer1
2016-Oct-13 10:46:58.444517 [INFO]    XmlParser: Parsed engine: phyengine7
2016-Oct-13 10:46:58.444533 [INFO]    XmlParser: Parsed component: dvbt1bitinterleaver1
2016-Oct-13 10:46:58.444559 [INFO]    XmlParser: Parsed engine: phyengine8
2016-Oct-13 10:46:58.444574 [INFO]    XmlParser: Parsed component: dvbt1symbolinterleaver1
2016-Oct-13 10:46:58.444596 [INFO]    XmlParser: Parsed engine: phyengine9
2016-Oct-13 10:46:58.444611 [INFO]    XmlParser: Parsed component: dvbt1mapper1
2016-Oct-13 10:46:58.444643 [INFO]    XmlParser: Parsed engine: phyengine10
2016-Oct-13 10:46:58.444660 [INFO]    XmlParser: Parsed component: dvbt1framer1
2016-Oct-13 10:46:58.445470 [INFO]    XmlParser: Parsed engine: phyengine11
2016-Oct-13 10:46:58.445490 [INFO]    XmlParser: Parsed component: dvbt1ofdmmod1
2016-Oct-13 10:46:58.445521 [INFO]    XmlParser: Parsed engine: phyengine12
2016-Oct-13 10:46:58.445537 [INFO]    XmlParser: Parsed component: dvbt1interpolator1
2016-Oct-13 10:46:58.445562 [INFO]    XmlParser: Parsed engine: phyengine13
2016-Oct-13 10:46:58.445577 [INFO]    XmlParser: Parsed component: dvbt1filter1
2016-Oct-13 10:46:58.445604 [INFO]    XmlParser: Parsed engine: phyengine14
2016-Oct-13 10:46:58.445620 [INFO]    XmlParser: Parsed component: usrptx1
2016-Oct-13 10:46:58.445659 [INFO]    XmlParser: Parsed link: filerawreader1 . output1 -> dvbt1scrambler1 . input1
2016-Oct-13 10:46:58.445680 [INFO]    XmlParser: Parsed link: dvbt1scrambler1 . output1 -> dvbt1rsencoder1 . input1
2016-Oct-13 10:46:58.445698 [INFO]    XmlParser: Parsed link: dvbt1rsencoder1 . output1 -> dvbt1convinterleaver1 . input1
2016-Oct-13 10:46:58.445717 [INFO]    XmlParser: Parsed link: dvbt1convinterleaver1 . output1 -> dvbt1convencoder1 . input1
2016-Oct-13 10:46:58.445734 [INFO]    XmlParser: Parsed link: dvbt1convencoder1 . output1 -> dvbt1puncturer1 . input1
2016-Oct-13 10:46:58.445753 [INFO]    XmlParser: Parsed link: dvbt1puncturer1 . output1 -> dvbt1bitinterleaver1 . input1
2016-Oct-13 10:46:58.445770 [INFO]    XmlParser: Parsed link: dvbt1bitinterleaver1 . output1 -> dvbt1symbolinterleaver1 . input1
2016-Oct-13 10:46:58.445787 [INFO]    XmlParser: Parsed link: dvbt1symbolinterleaver1 . output1 -> dvbt1mapper1 . input1
2016-Oct-13 10:46:58.445803 [INFO]    XmlParser: Parsed link: dvbt1mapper1 . output1 -> dvbt1framer1 . input1
2016-Oct-13 10:46:58.445821 [INFO]    XmlParser: Parsed link: dvbt1framer1 . output1 -> dvbt1ofdmmod1 . input1
2016-Oct-13 10:46:58.445838 [INFO]    XmlParser: Parsed link: dvbt1ofdmmod1 . output1 -> dvbt1interpolator1 . input1
2016-Oct-13 10:46:58.445854 [INFO]    XmlParser: Parsed link: dvbt1interpolator1 . output1 -> dvbt1filter1 . input1
2016-Oct-13 10:46:58.445870 [INFO]    XmlParser: Parsed link: dvbt1filter1 . output1 -> usrptx1 . input1
2016-Oct-13 10:46:58.685166 [FATAL]   filerawreader1: Could not open file hd4hi.ts for reading.
2016-Oct-13 10:46:58.700590 [FATAL]   System: Error loading radio: Could not open file hd4hi.ts for reading.
2016-Oct-13 12:40:52.153134 [INFO]    System: Loading radio: test-tcd.xml
2016-Oct-13 12:40:52.153596 [INFO]    XmlParser: Parsed controller: forgecontroller
2016-Oct-13 12:40:52.153655 [INFO]    XmlParser: Parsed engine: phyengine1
2016-Oct-13 12:40:52.163259 [INFO]    XmlParser: Parsed component: filerawreader1
2016-Oct-13 12:40:52.163360 [INFO]    XmlParser: Parsed engine: phyengine2
2016-Oct-13 12:40:52.163413 [INFO]    XmlParser: Parsed component: dvbt1scrambler1
2016-Oct-13 12:40:52.163473 [INFO]    XmlParser: Parsed engine: phyengine3
2016-Oct-13 12:40:52.163523 [INFO]    XmlParser: Parsed component: dvbt1rsencoder1
2016-Oct-13 12:40:52.163579 [INFO]    XmlParser: Parsed engine: phyengine4
2016-Oct-13 12:40:52.163629 [INFO]    XmlParser: Parsed component: dvbt1convinterleaver1
2016-Oct-13 12:40:52.163686 [INFO]    XmlParser: Parsed engine: phyengine5
2016-Oct-13 12:40:52.163735 [INFO]    XmlParser: Parsed component: dvbt1convencoder1
2016-Oct-13 12:40:52.163793 [INFO]    XmlParser: Parsed engine: phyengine6
2016-Oct-13 12:40:52.163842 [INFO]    XmlParser: Parsed component: dvbt1puncturer1
2016-Oct-13 12:40:52.163898 [INFO]    XmlParser: Parsed engine: phyengine7
2016-Oct-13 12:40:52.163956 [INFO]    XmlParser: Parsed component: dvbt1bitinterleaver1
2016-Oct-13 12:40:52.164014 [INFO]    XmlParser: Parsed engine: phyengine8
2016-Oct-13 12:40:52.164063 [INFO]    XmlParser: Parsed component: dvbt1symbolinterleaver1
2016-Oct-13 12:40:52.164118 [INFO]    XmlParser: Parsed engine: phyengine9
2016-Oct-13 12:40:52.164167 [INFO]    XmlParser: Parsed component: dvbt1mapper1
2016-Oct-13 12:40:52.164232 [INFO]    XmlParser: Parsed engine: phyengine10
2016-Oct-13 12:40:52.164283 [INFO]    XmlParser: Parsed component: dvbt1framer1
2016-Oct-13 12:40:52.164347 [INFO]    XmlParser: Parsed engine: phyengine11
2016-Oct-13 12:40:52.164399 [INFO]    XmlParser: Parsed component: dvbt1ofdmmod1
2016-Oct-13 12:40:52.164574 [INFO]    XmlParser: Parsed engine: phyengine12
2016-Oct-13 12:40:52.164627 [INFO]    XmlParser: Parsed component: dvbt1interpolator1
2016-Oct-13 12:40:52.164679 [INFO]    XmlParser: Parsed engine: phyengine13
2016-Oct-13 12:40:52.164729 [INFO]    XmlParser: Parsed component: dvbt1filter1
2016-Oct-13 12:40:52.164790 [INFO]    XmlParser: Parsed engine: phyengine14
2016-Oct-13 12:40:52.164838 [INFO]    XmlParser: Parsed component: usrptx1
2016-Oct-13 12:40:52.164910 [INFO]    XmlParser: Parsed link: filerawreader1 . output1 -> dvbt1scrambler1 . input1
2016-Oct-13 12:40:52.164962 [INFO]    XmlParser: Parsed link: dvbt1scrambler1 . output1 -> dvbt1rsencoder1 . input1
2016-Oct-13 12:40:52.165015 [INFO]    XmlParser: Parsed link: dvbt1rsencoder1 . output1 -> dvbt1convinterleaver1 . input1
2016-Oct-13 12:40:52.165066 [INFO]    XmlParser: Parsed link: dvbt1convinterleaver1 . output1 -> dvbt1convencoder1 . input1
2016-Oct-13 12:40:52.165116 [INFO]    XmlParser: Parsed link: dvbt1convencoder1 . output1 -> dvbt1puncturer1 . input1
2016-Oct-13 12:40:52.165137 [INFO]    XmlParser: Parsed link: dvbt1puncturer1 . output1 -> dvbt1bitinterleaver1 . input1
2016-Oct-13 12:40:52.165138 [INFO]    XmlParser: Parsed link: dvbt1bitinterleaver1 . output1 -> dvbt1symbolinterleaver1 . input1
2016-Oct-13 12:40:52.165168 [INFO]    XmlParser: Parsed link: dvbt1symbolinterleaver1 . output1 -> dvbt1mapper1 . input1
2016-Oct-13 12:40:52.165244 [INFO]    XmlParser: Parsed link: dvbt1mapper1 . output1 -> dvbt1framer1 . input1
